"","Dataset","Title","Beg","treatyID"
"268","GPTAD","Hungary Lithuania","1998-11-13","HUN-LTU[NA]_1998O"
"269","GPTAD","EFTA PLO","1998-11-30","EFTAPL_1998O"
"270","GPTAD","India Sri Lanka","1998-12-28","IND-LKA[NA]_1998O"
"271","GPTAD","CEFTA Accession Of Bulgaria","1999-01-01","CFTACB_1999O"
"272","GPTAD","Latvia Poland","1999-01-06","LVA-POL[NA]_1999O"
"273","GPTAD","Poland Turkey","1999-01-10","POL-TUR[NA]_1999O"
"274","GPTAD","Armenia Kazakhstan","1999-02-09","ARM-KAZ[NA]_1999O"
"275","GPTAD","FYROM Turkey","1999-07-09","MKD-TUR[FYR]_1999O"
"276","GPTAD","Hungary Latvia","1999-10-06","HUN-LVA[NA]_1999O"
"277","GPTAD","Bulgaria Macedonia","1999-10-13","BGR-MKD[MCD]_1999O"
"278","GPTAD","Chile Costa Rica (Central America) (English)","1999-10-18","CHL-CRI[NA]_1999O"
"279","GPTAD","EC South Africa","1999-11-10","ECSTHA_1999O"
"280","GPTAD","East African Community","1999-11-30","ESTAFC_1999O"
"311","LABPTA","Andean Community Trujillo Protocol","1996-01-01","ANDNCT_1996P"
"312","LABPTA","Azerbaijan Georgia","1996-01-01","AZE-GEO[NA]_1996O"
"313","LABPTA","Bolivia MERCOSUR","1996-01-01","BLVMRC_1996O"
"314","LABPTA","Bulgaria Slovenia","1996-01-01","BGR-SVN[NA]_1996O"
"315","LABPTA","Canada Chile","1996-01-01","CAN-CHL[NA]_1996O"
"316","LABPTA","Canada Israel","1996-01-01","CAN-ISR[NA]_1996O"
"317","LABPTA","Chile MERCOSUR","1996-01-01","CHLMRC_1996O"
"318","LABPTA","Czech Republic Estonia","1996-01-01","CZE-EST[NA]_1996O"
"319","LABPTA","Czech Republic Israel","1996-01-01","CZE-ISR[NA]_1996O"
"320","LABPTA","Czech Republic Latvia","1996-01-01","CZE-LVA[NA]_1996O"
"321","LABPTA","EC Faroe Islands","1996-01-01","ECFRIS_1996O"
"322","LABPTA","EC Morocco Euro-Med Association Agreement","1996-01-01","ECMEMA_1996A"
"323","LABPTA","EC Slovenia Europe Agreement","1996-01-01","ECSLVE_1996A"
"324","LABPTA","Egypt Jordan","1996-01-01","EGY-JOR[NA]_1996O"
"325","LABPTA","Estonia Slovakia","1996-01-01","EST-SVK[NA]_1996O"
"326","LABPTA","Estonia Slovenia","1996-01-01","EST-SVN[NA]_1996O"
"327","LABPTA","Georgia Turkmenistan","1996-01-01","GEO-TKM[NA]_1996O"
"328","LABPTA","Israel Slovakia","1996-01-01","ISR-SVK[NA]_1996O"
"329","LABPTA","Israel Turkey","1996-01-01","ISR-TUR[NA]_1996O"
"330","LABPTA","Kyrgyzstan Uzbekistan","1996-01-01","KGZ-UZB[NA]_1996O"
"331","LABPTA","Latvia Slovakia","1996-01-01","LVA-SVK[NA]_1996O"
"332","LABPTA","Latvia Slovenia","1996-01-01","LVA-SVN[NA]_1996O"
"333","LABPTA","Lithuania Poland","1996-01-01","LTU-POL[NA]_1996O"
"334","LABPTA","Lithuania Slovakia","1996-01-01","LTU-SVK[NA]_1996O"
"335","LABPTA","Lithuania Slovenia","1996-01-01","LTU-SVN[NA]_1996O"
"336","LABPTA","Macedonia Slovenia","1996-01-01","MKD-SVN[MCD]_1996O"
"337","LABPTA","Southern African Development Community (SADC)","1996-01-01","STHADC_1996O"
"338","LABPTA","Algeria Jordan","1997-01-01","JOR-ALG[NA]_1997O"
"339","LABPTA","Caribbean Community (CARICOM) Protocol On Services","1997-01-01","CRBBCS_1997P"
"340","LABPTA","Croatia Macedonia","1997-01-01","HRV-MKD[MCD]_1997O"
"341","LABPTA","Croatia Macedonia (amended)","1997-01-01","HRV-MKD[MCD]_1997E"
"342","LABPTA","Croatia Slovenia","1997-01-01","HRV-SVN[NA]_1997O"
"343","LABPTA","Czech Republic Turkey","1997-01-01","CZE-TUR[NA]_1997O"
"344","LABPTA","EC Jordan Euro-Med Association Agreement","1997-01-01","ECJEMA_1997A"
"345","LABPTA","EFTA Morocco","1997-01-01","EFTMRC_1997O"
"346","LABPTA","Estonia Faroe Islands","1997-01-01","EST-FRO[NA]_1997O"
"347","LABPTA","Estonia Turkey","1997-01-01","EST-TUR[NA]_1997O"
"348","LABPTA","Georgia Kazakhstan","1997-01-01","GEO-KAZ[NA]_1997O"
"349","LABPTA","Greater Arab Free Trade Agreement","1997-01-01","GRTAFT_1997A"
"350","LABPTA","Hungary Israel","1997-01-01","HUN-ISR[NA]_1997O"
"351","LABPTA","Hungary Turkey","1997-01-01","HUN-TUR[NA]_1997O"
"352","LABPTA","Israel Poland","1997-01-01","ISR-POL[NA]_1997O"
"353","LABPTA","Latvia Poland","1997-01-01","LVA-POL[NA]_1997O"
"354","LABPTA","Lithuania Turkey","1997-01-01","LTU-TUR[NA]_1997O"
"355","LABPTA","MERCOSUR Services","1997-01-01","MRCSRS_1997O"
"356","LABPTA","Mexico Nicaragua","1997-01-01","MEX-NIC[NA]_1997O"
"357","LABPTA","Romania Turkey","1997-01-01","ROU-TUR[NA]_1997O"
"358","LABPTA","Slovakia Turkey","1997-01-01","SVK-TUR[NA]_1997O"
"359","LABPTA","Andean Community Sucre Protocol","1997-01-01","ANDNCS_1997P"
"360","LABPTA","Guinea Morocco","1997-01-01","GIN-MAR[NA]_1997O"
"361","LABPTA","Bulgaria Turkey","1998-01-01","BGR-TUR[NA]_1998O"
"362","LABPTA","Caribbean Community (CARICOM) Dominican Republic","1998-01-01","CRBCDR_1998O"
"363","LABPTA","Central America Dominican Republic","1998-01-01","CNTADR_1998O"
"364","LABPTA","Chile Mexico","1998-01-01","CHL-MEX[NA]_1998O"
"365","LABPTA","Chile Peru","1998-01-01","CHL-PER[NA]_1998O"
"366","LABPTA","Egypt Jordan","1998-01-01","EGY-JOR[NA]_1998O"
"367","LABPTA","Egypt Morocco","1998-01-01","EGY-MAR[NA]_1998O"
"368","LABPTA","Egypt PLO","1998-01-01","EGYPTP_1998O"
